Class,Archery,Basketball,Biking,Bowling,Drumming,JavelinThrow,PlayingGuitar,RopeClimbing,Typing
Archery,1.000000,0.407932,0.283115,0.482039,0.283406,0.489219,0.268800,0.383614,0.210308
Basketball,0.407932,1.000000,0.239410,0.499240,0.256574,0.422215,0.293718,0.304828,0.330015
Biking,0.283115,0.239410,1.000000,0.312184,0.276295,0.250613,0.323092,0.358152,0.244964
Bowling,0.482039,0.499240,0.312184,1.000000,0.219532,0.438247,0.373709,0.273036,0.172677
Drumming,0.283406,0.256574,0.276295,0.219532,1.000000,0.210476,0.523106,0.242208,0.244559
JavelinThrow,0.489219,0.422215,0.250613,0.438247,0.210476,1.000000,0.323246,0.328680,0.145447
PlayingGuitar,0.268800,0.293718,0.323092,0.373709,0.523106,0.323246,1.000000,0.408982,0.329818
RopeClimbing,0.383614,0.304828,0.358152,0.273036,0.242208,0.328680,0.408982,1.000000,0.306218
Typing,0.210308,0.330015,0.244964,0.172677,0.244559,0.145447,0.329818,0.306218,1.000000
